location,date,num_sequences_total
Iceland,2021-07-12,40
Iceland,2021-07-26,623
Iceland,2021-08-09,1449
India,2021-04-05,4734
India,2021-04-19,7463
India,2021-05-03,8086
India,2021-05-17,6417
India,2021-05-31,5348
India,2021-06-14,4258
India,2021-06-28,3779
India,2021-07-12,3408
India,2021-07-26,3285
India,2021-08-09,2888
Indonesia,2021-04-05,175
Indonesia,2021-04-19,183
Indonesia,2021-05-03,248
Indonesia,2021-05-17,353
Indonesia,2021-05-31,590
Indonesia,2021-06-14,650
Indonesia,2021-06-28,1041
Indonesia,2021-07-12,977
Indonesia,2021-07-26,752
Indonesia,2021-08-09,1015
Iran,2021-04-05,17
Iran,2021-04-19,22
Iran,2021-05-03,48
Iran,2021-05-17,17
Iran,2021-05-31,4
Iran,2021-07-26,1
Iran,2021-08-09,3
Iraq,2021-04-05,5
Iraq,2021-04-19,2
Iraq,2021-05-03,12
Iraq,2021-05-17,3
Iraq,2021-05-31,2
Iraq,2021-06-14,2
Iraq,2021-07-12,2
Iraq,2021-07-26,8
Iraq,2021-08-09,2
Ireland,2021-04-05,1383
Ireland,2021-04-19,1464
Ireland,2021-05-03,1901
Ireland,2021-05-17,1873
Ireland,2021-05-31,2353
Ireland,2021-06-14,1402
Ireland,2021-06-28,1570
Ireland,2021-07-12,1759
Ireland,2021-07-26,2900
Ireland,2021-08-09,3011
Israel,2021-04-05,830
Israel,2021-04-19,482
Israel,2021-05-03,357
Israel,2021-05-17,204
Israel,2021-05-31,150
Israel,2021-06-14,114
Israel,2021-06-28,847
Israel,2021-07-12,1627
Israel,2021-07-26,512
Israel,2021-08-09,1647
Italy,2021-04-05,3420
Italy,2021-04-19,3809
Italy,2021-05-03,4066
Italy,2021-05-17,2377
Italy,2021-05-31,2678
Italy,2021-06-14,1546
Italy,2021-06-28,1968
Italy,2021-07-12,3054
Italy,2021-07-26,4771
Italy,2021-08-09,4135
Jamaica,2021-04-05,9
Jamaica,2021-04-19,10
Jamaica,2021-05-03,1
Jamaica,2021-05-17,30
Jamaica,2021-05-31,26
Jamaica,2021-07-26,92
Jamaica,2021-08-09,8
Japan,2021-04-05,4081
Japan,2021-04-19,5582
Japan,2021-05-03,10178
Japan,2021-05-17,9411
Japan,2021-05-31,5920
Japan,2021-06-14,4207
Japan,2021-06-28,4220
Japan,2021-07-12,5720
Japan,2021-07-26,10145
Japan,2021-08-09,17302
Jordan,2021-04-05,13
Jordan,2021-04-19,19
Jordan,2021-05-03,16
Jordan,2021-05-17,17
Jordan,2021-05-31,14
Jordan,2021-06-14,27
Jordan,2021-06-28,16
Jordan,2021-07-12,12
Jordan,2021-07-26,5
Jordan,2021-08-09,13
Kazakhstan,2021-04-05,59
Kazakhstan,2021-04-19,35
Kazakhstan,2021-05-03,47
Kazakhstan,2021-07-26,1
Kenya,2021-04-05,169
Kenya,2021-04-19,133
Kenya,2021-05-03,136
Kenya,2021-05-17,117
Kenya,2021-05-31,194
Kenya,2021-06-14,132
Kenya,2021-06-28,173
Kenya,2021-07-12,278
Kenya,2021-07-26,222
Kenya,2021-08-09,296
Kosovo,2021-05-03,2
Kosovo,2021-05-17,11
Kosovo,2021-05-31,1
Kosovo,2021-06-14,7
